   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 387,         37310,           36928,          70591,      2836,        2836,       5000
 388,         37429,           37046,          58004,      2836,        2836,       5000
 389,         37507,           37123,          61349,      2841,        2841,       4999
 390,         37838,           37453,          56524,      2859,        2859,       5001
 391,         37984,           37598,          73002,      2865,        2865,       4998
 392,         38182,           37795,          57333,      2877,        2877,       4984
 393,         38499,           38111,          56514,      2886,        2886,       5000
 394,         38817,           38428,          56004,      2912,        2912,       4000
 395,         39153,           38763,          56514,      2910,        2910,       5998
 396,         39259,           38868,          62511,      2917,        2917,       5000
 397,         39562,           39170,          58006,      2932,        2932,       5000
 398,         39955,           39562,          58508,      2925,        2925,       3997
 399,         40252,           39858,          60005,      2924,        2924,       5000
 400,         40513,           40118,          60515,      2966,        2966,       5000
 401,         40634,           40238,          69464,      2974,        2974,       5000
 402,         40717,           40320,          60325,      2961,        2961,       4513
 403,         40951,           40553,          62004,      2969,        2969,       5002
 404,         41354,           40956,          67875,      2986,        2986,       5000
 405,         41362,           40963,          64749,      3003,        3003,       5227
 406,         41431,           41031,          74023,      3011,        3011,       6004
 407,         41509,           41108,          61526,      3007,        3007,       5000
 408,         41828,           41426,          61511,      3025,        3025,       4000
 409,         42131,           41728,          61019,      3035,        3035,       5987
 410,         42475,           42071,          71512,      3031,        3031,       6005
 411,         42871,           42466,          66515,      3042,        3042,       5000
 412,         43063,           42657,          77527,      3062,        3062,       5000
 413,         43172,           42765,          63004,      3082,        3082,       5000
 414,         43199,           42791,          63005,      3067,        3067,       5000
 415,         43481,           43072,          66515,      3076,        3076,       8002
 416,         43544,           43134,          72018,      3093,        3093,       5000
 417,         43648,           43237,          77037,      3101,        3101,       4491
 418,         43872,           43460,          64453,      3110,        3110,       5015
 419,         43979,           43566,          68451,      3126,        3126,       5000
 420,         44099,           43685,          97495,      3136,        3136,       6001
 421,         44243,           43828,          64762,      3143,        3143,       4000
 422,         44443,           44027,          65672,      3155,        3155,       6000
 423,         44572,           44155,          67530,      3157,        3157,       4986
 424,         44961,           44543,          80564,      3163,        3163,       5999
 425,         45218,           44799,          91528,      3175,        3175,       5996
 426,         45420,           45000,          94530,      3185,        3185,       4996
 427,         45482,           45061,          79521,      3194,        3194,       5998
 428,         45531,           45109,          92031,      3192,        3192,       6009
 429,         45699,           45276,          68511,      3205,        3205,       5002
 430,         45713,           45289,          67001,      3208,        3208,       5000
 431,         45755,           45330,          68509,      3218,        3218,       5000
 432,         45808,           45382,          73060,      3242,        3242,       4998
 433,         46132,           45705,          68577,      3253,        3253,       5000
 434,         46327,           45899,          79992,      3260,        3260,       5000
 435,         46383,           45954,          71533,      3266,        3266,       4997
 436,         46533,           46103,          87522,      3271,        3271,       6013
 437,         46714,           46283,          70517,      3281,        3281,       6001
 438,         46827,           46395,          71529,      3295,        3295,       6000
 439,         46950,           46517,          68736,      3293,        3293,       5985
 440,         46984,           46550,          70511,      3306,        3306,       5323
 441,         47226,           46791,          80093,      3316,        3316,       4999
 442,         47280,           46844,          75531,      3307,        3307,       5000
 443,         47294,           46857,          72516,      3310,        3310,       4999
 444,         47481,           47043,          79688,      3332,        3332,       5541
 445,         47907,           47468,          93028,      3331,        3331,       4539
 446,         48298,           47858,          71992,      3352,        3352,       4998
 447,         48726,           48285,          70515,      3368,        3368,       6000
 448,         49080,           48638,          73514,      3393,        3393,       5000
 449,         49407,           48964,          73515,      3400,        3400,       6014
