nm0000313	Jeff Bridges	tt0371746	tt0848228
nm0001765	Harry Dean Stanton	tt0848228
nm0000375	Robert Downey Jr.	tt4154756	tt0848228	tt0371746
nm0001765	Harry Dean Stanton	tt0848228
nm0000602	Robert Redford	tt1843866
nm0000140	Michael Douglas	tt0478970
nm0000164	Anthony Hopkins	tt3501632
nm0000375	Robert Downey Jr.	tt4154756	tt0848228	tt0371746
nm0442207	Lloyd Kaufman	tt2015381
